day,date,deaths,totaldeaths,maledeaths,femaledeaths
1,19-Aug,1,1,0,1
2,20-Aug,1,2,0,1
3,21-Aug,1,3,1,0
4,22-Aug,0,3,0,0
5,23-Aug,1,4,1,0
6,24-Aug,1,5,0,1
7,25-Aug,0,5,0,0
8,26-Aug,1,6,0,1
9,27-Aug,1,7,0,1
10,28-Aug,1,8,1,0
11,29-Aug,1,9,1,0
12,30-Aug,8,17,3,5
13,31-Aug,56,73,32,24
14,1-Sep,143,216,65,78
15,2-Sep,116,332,60,56
16,3-Sep,54,386,24,30
17,4-Sep,46,432,19,27
18,5-Sep,36,468,20,16
19,6-Sep,20,488,11,9
20,7-Sep,28,516,15,13
21,8-Sep,12,528,9,3
22,9-Sep,11,539,7,4
23,10-Sep,5,544,3,2
24,11-Sep,5,549,2,3
25,12-Sep,1,550,0,1
26,13-Sep,3,553,2,1
27,14-Sep,0,553,0,0
28,15-Sep,1,554,1,0
29,16-Sep,4,558,3,1
30,17-Sep,2,560,0,2
31,18-Sep,3,563,2,1
32,19-Sep,0,563,0,0
33,20-Sep,0,563,0,0
34,21-Sep,2,565,1,1
35,22-Sep,1,566,0,1
36,23-Sep,1,567,0,1
37,24-Sep,1,568,0,1
38,25-Sep,1,569,0,1
39,26-Sep,1,570,0,1
40,27-Sep,1,571,1,0
41,28-Sep,0,571,0,0
42,29-Sep,0,571,0,0
